year,"von Schnitzler","an Schnitzler"
1888,-0,1474
1889,-0,10917
1890,-0,19091
1891,-0,61282
1892,-0,22945
1893,-0,39863
1894,-491,72425
1895,-0,90326
1896,-2120,88315
1897,-0,65278
1898,-0,37802
1899,-217,54181
1900,-1269,57355
1901,-0,52880
1902,-0,51003
1903,-0,29211
1904,-0,15172
1905,-0,4025
1906,-0,7420
1907,-4178,3979
1908,-0,2710
1909,-0,2427
1910,-0,1731
1911,-14392,13643
1912,-0,0
1913,-0,0
1914,-0,0
1915,-0,1095
1916,-0,0
1917,-0,0
1918,-0,0
1919,-0,0
1920,-0,0
1921,-0,0
1922,-0,0
1923,-0,0
1924,-0,0
1925,-2168,7279
1926,-0,0
1927,-336,1770
1928,-0,490
1929,-0,0
1930,-0,1187
1931,-0,1727
